sentence,item_start,item_end,amount_start,amount_end
"Today, Settled 19005 INR for raspberry plants purchase.",29,45,15,20
"Today, We spent 34206 INR on Bottle Gourd repair.",29,41,16,21
coconut trees purchase cost us 17193 ₹.,0,13,31,36
"Last month, cheese is worth 10088 Rs. now.",12,18,28,33
"On Monday, Cost of Mango amounted to 47820 Rs..",19,24,37,42
"Today, Sale price of Sapota (Chikoo) was 30476 Rs..",21,36,41,46
"Yesterday, pigs is sold for 32898 ₹ today.",11,15,28,33
Settled 11592 Rs. for sheep purchase.,22,27,8,13
"Earlier today, Paid full amount 6932 Rs. for aquaculture supplies delivery.",45,65,32,36
"Today, ₹35136 was given to buy Radish.",31,37,8,13
"Recently, They charged 3047 ₹ for cattle shed.",34,45,23,27
"In March, Used 41295 INR to buy Drumstick.",32,41,15,20
"Last month, ₹41783 was given to buy grain storage bags.",36,54,13,18
"During the season, Pomegranate goes for 17196 rupees these days.",19,30,40,45
"Recently, Amount paid for grain storage bags was 25975 ₹.",26,44,49,54
"During the season, Harvest of jamun saplings brought in 18102 rupees.",30,44,56,61
"A week ago, fish fingerlings is fetching 37774 rupees this season.",12,28,41,46
"In the evening, Quoted price for buffalo is 48447 Rs..",33,40,44,49
"Today, Around noon, I spent 32280 ₹ on Potato.",39,45,28,33
"Just now, I gave 13271 Rs. as investment for Brinjal.",45,52,17,22
"In the evening, Harvest of solar water pump brought in 5985 rupees.",27,43,55,59
"Early morning, The market price of Brinjal was 20891 ₹.",35,42,47,52
"In March, They charged 7969 ₹ for almond trees.",34,46,23,27
"During the season, Bought Brinjal today and paid 837 Rs..",26,33,49,52
"In the evening, The bill for farm fencing came to 38668 Rs..",29,41,50,55
"Earlier today, Harvested water trough and sold for 586 rupees.",25,37,51,54
"Yesterday, Advance of 34135 Rs. paid for Capsicum.",41,49,22,27
"Earlier today, Custard Apple was given for 29011 rupees per kilo.",15,28,43,48
"Today, Harvested jackfruit tree and sold for 35320 INR.",17,31,45,50
"Earlier today, coffee beans purchase cost us 42901 ₹.",15,27,45,50
"Yesterday, For rose plants, the price was 24236 rupees.",15,26,42,47
"Early morning, Bought ducks today and paid 15384 Rs..",22,27,43,48
"Just now, I gave 31183 rupees as investment for turmeric.",48,56,17,22
"Early morning, papaya is billed at 23298 rupees.",15,21,35,40
"Early morning, jackfruit is fetching 31810 ₹ this season.",15,24,37,42
"In the evening, I invested 18284 INR for buying lily bulbs.",48,58,27,32
"Yesterday, beehives purchase cost us 37437 Rs..",11,19,37,42
"Yesterday, Harvested duck feed and sold for 20431 ₹.",21,30,44,49
"On Monday, I spent 5608 rupees on pumpkin seeds last month.",34,47,19,23
"On Monday, They charged 40574 rupees for Drumstick.",41,50,24,29
"Just now, Total earnings from turmeric were 31533 INR.",30,38,44,49
